,player_id,player,year,team_id,draft_pick,height_no_shoes,height_with_shoes,wingspan,standing_reach,vertical_max,vertical_max_reach,vertical_no_step,vertical_no_step_reach,weight,body_fat,hand_length,hand_width,bench,agility,sprint,season
37,202328,Greg Monroe,2010,1610612761,7.0,81.75,83.0,86.25,108.5,29.0,137.5,25.0,133.5,247.0,11.2,8.75,9.5,15.0,12.1,3.35,2018
38,202329,Al-Farouq Aminu,2010,1610612757,8.0,79.25,80.5,87.25,108.5,33.5,142.0,27.0,135.5,216.0,8.2,9.5,9.5,13.0,11.29,3.3,2018
39,202330,Gordon Hayward,2010,1610612738,9.0,78.75,80.0,79.75,103.0,34.5,137.5,30.5,133.5,211.0,6.9,8.5,9.25,10.0,11.73,3.22,2018
40,202690,Jimmer Fredette,2011,1610612756,10.0,72.75,74.5,76.5,96.5,33.0,129.5,28.0,124.5,196.0,7.7,8.0,8.5,14.0,10.42,3.21,2018
41,202691,Klay Thompson,2011,1610612744,11.0,77.75,79.25,81.0,103.5,31.5,135.0,26.5,130.0,206.0,8.0,8.75,9.25,5.0,10.99,3.24,2018
42,202692,Alec Burks,2011,1610612758,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,2018
43,202692,Alec Burks,2011,1610612739,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,2018
44,202692,Alec Burks,2011,1610612762,12.0,77.0,78.0,82.0,103.5,36.0,139.5,29.0,132.5,193.0,5.1,9.0,8.25,5.0,10.96,3.17,2018
45,202693,Markieff Morris,2011,1610612760,13.0,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4,2018
46,202693,Markieff Morris,2011,1610612764,13.0,79.75,81.25,82.75,106.5,31.5,138.0,27.0,133.5,241.0,10.2,8.5,8.25,11.0,,3.4,2018
47,202695,Kawhi Leonard,2011,1610612761,15.0,78.0,79.0,87.0,106.0,32.0,138.0,25.5,131.5,227.0,5.4,9.75,11.25,3.0,11.45,3.15,2018
48,202696,Nikola Vucevic,2011,1610612753,16.0,82.25,83.75,88.5,112.5,25.0,137.5,23.5,136.0,260.0,6.1,9.25,10.25,8.0,12.02,3.27,2018
