player_name,salary
Jonathon Simmons,"$6,000,000  "
Ishmael Smith,"$6,000,000  "
Jaren Jackson Jr.,"$5,915,040  "
Brandon Ingram,"$5,757,120  "
Anthony Tolliver,"$5,750,000  "
Kristaps Porzingis,"$5,697,054  "
De'Aaron Fox,"$5,470,920  "
Patrick Patterson,"$5,451,600  "
Marcus Morris Sr.,"$5,375,000  "
Trae Young,"$5,356,440  "
DeMarcus Cousins,"$5,337,000  "
Dwight Howard,"$5,337,000  "
Thabo Sefolosha,"$5,250,000  "
Aron Baynes,"$5,193,600  "
Jaylen Brown,"$5,169,960  "
Patrick Beverley,"$5,027,027  "
Dirk Nowitzki,"$5,000,000  "
Tony Parker,"$5,000,000  "
Mike Muscala,"$5,000,000  "
Jonathan Isaac,"$4,969,080  "
Mohamed Bamba,"$4,865,040  "
Willie Cauley-Stein,"$4,696,875  "
Dragan Bender,"$4,661,280  "
Lauri Markkanen,"$4,536,120  "
Kyle O'Quinn,"$4,449,000  "
Ed Davis,"$4,449,000  "
Lance Stephenson,"$4,449,000  "
Wendell Carter Jr.,"$4,441,200  "
Justin Holiday,"$4,384,615  "
Alex Len,"$4,350,000  "
Mike Scott,"$4,320,500  "
Emmanuel Mudiay,"$4,294,480  "
Kris Dunn,"$4,221,000  "
Frank Ntilikina,"$4,155,720  "
Glenn Robinson III,"$4,075,000  "
Collin Sexton,"$4,068,600  "
Stanley Johnson,"$3,940,402  "
Buddy Hield,"$3,833,760  "
Dennis Smith Jr.,"$3,819,960  "
Kevin Knox,"$3,739,920  "
Jose Barea,"$3,710,850  "
Nene Hilario,"$3,651,480  "
Zach Collins,"$3,628,920  "
Frank Kaminsky,"$3,627,842  "
Mikal Bridges,"$3,552,960  "
Jamal Murray,"$3,499,800  "
Rodney Hood,"$3,472,887  "
Justise Winslow,"$3,448,926  "
Malik Monk,"$3,447,480  "
Myles Turner,"$3,410,284  "
Allonzo Trier,"$3,382,000  "
Brook Lopez,"$3,382,000  "
Shai Gilgeous-Alexander,"$3,375,360  "
Trey Lyles,"$3,364,249  "
Ekpe Udoh,"$3,360,000  "
Devin Booker,"$3,314,365  "
Luke Kennard,"$3,275,280  "
Troy Daniels,"$3,258,549  "
Kelly Oubre Jr.,"$3,208,630  "
Miles Bridges,"$3,206,640  "
Marquese Chriss,"$3,206,160  "
Tomas Satoransky,"$3,129,187  "
Bryn Forbes,"$3,125,000  "
Donovan Mitchell,"$3,111,480  "
Terry Rozier,"$3,050,390  "
Jerome Robinson,"$3,046,200  "
Yogi Ferrell,"$3,000,000  "
Elfrid Payton,"$3,000,000  "
Edrice Adebayo,"$2,955,840  "
