game_id,game_date_est,home_team_id,visitor_team_id,season,pts_home,fg_pct_home,ft_pct_home,fg3_pct_home,ast_home,reb_home,pts_away,fg_pct_away,ft_pct_away,fg3_pct_away,ast_away,reb_away,home_team_wins
41800221,2019-04-28,1610612744,1610612745,2018,104.0,0.507,0.778,0.318,24.0,38.0,100.0,0.419,0.828,0.298,14.0,26.0,1
41800211,2019-04-27,1610612761,1610612755,2018,108.0,0.519,0.708,0.333,21.0,40.0,95.0,0.393,0.667,0.344,23.0,47.0,1
41800157,2019-04-27,1610612743,1610612759,2018,90.0,0.398,0.7829999999999999,0.1,21.0,53.0,86.0,0.365,0.9,0.261,19.0,45.0,1
41800146,2019-04-26,1610612746,1610612744,2018,110.0,0.396,0.821,0.344,22.0,49.0,129.0,0.528,0.8059999999999999,0.333,32.0,46.0,0
41800156,2019-04-25,1610612759,1610612743,2018,120.0,0.5710000000000001,0.8240000000000001,0.417,25.0,41.0,103.0,0.458,0.75,0.25,26.0,37.0,1
41800175,2019-04-24,1610612745,1610612762,2018,100.0,0.444,0.682,0.35100000000000003,17.0,46.0,93.0,0.3720000000000001,0.737,0.237,26.0,47.0,1
41800145,2019-04-24,1610612744,1610612746,2018,121.0,0.448,0.909,0.385,31.0,39.0,129.0,0.541,0.923,0.382,29.0,42.0,0
41800115,2019-04-23,1610612761,1610612753,2018,115.0,0.482,0.857,0.417,34.0,48.0,96.0,0.386,0.742,0.265,20.0,48.0,1
41800125,2019-04-23,1610612755,1610612751,2018,122.0,0.51,0.667,0.424,35.0,56.0,100.0,0.387,0.76,0.29,26.0,41.0,1
41800155,2019-04-23,1610612743,1610612759,2018,108.0,0.5,0.8,0.424,25.0,49.0,90.0,0.411,0.6,0.292,17.0,42.0,1
41800165,2019-04-23,1610612757,1610612760,2018,118.0,0.469,0.652,0.371,22.0,45.0,115.0,0.547,0.6,0.444,24.0,39.0,1
41800104,2019-04-22,1610612765,1610612749,2018,104.0,0.41,0.75,0.382,26.0,36.0,127.0,0.544,0.7559999999999999,0.35700000000000004,27.0,54.0,0
41800174,2019-04-22,1610612762,1610612745,2018,107.0,0.43,0.846,0.314,24.0,52.0,91.0,0.354,0.75,0.37,14.0,35.0,1
41800134,2019-04-21,1610612754,1610612738,2018,106.0,0.409,0.857,0.35700000000000004,18.0,43.0,110.0,0.462,0.794,0.393,18.0,43.0,0
41800144,2019-04-21,1610612746,1610612744,2018,105.0,0.425,0.75,0.419,22.0,33.0,113.0,0.472,0.895,0.387,27.0,49.0,0
